"year","month","day","airline","origin_airport","destination_airport","scheduled_departure","departure_time","departure_delay","scheduled_time","elapsed_time","scheduled_arrival","arrival_time","arrival_delay","diverted","cancelled","year","month","day","airline","origin_airport","destination_airport","scheduled_departure","departure_time","departure_delay","scheduled_time","elapsed_time","scheduled_arrival","arrival_time","arrival_delay","diverted","cancelled"
"2015","12","27","B6","SFO","BOS","1145","1224","39","332","311","2017","2035","18","0","0","2015","12","27","B6","BOS","JFK","2005","2152","107","74","66","2119","2258","99","0","0"
"2015","12","27","B6","SFO","BOS","1145","1224","39","332","311","2017","2035","18","0","0","2015","12","27","B6","BOS","JFK","1841","2202","201","79","65","2000","2307","187","0","0"
"2015","12","27","B6","SFO","LGB","1921","2006","45","77","69","2038","2115","37","0","0","2015","12","27","B6","LGB","JFK","2120","2330","130","302","297","522","727","125","0","0"
"2015","12","27","B6","SFO","BOS","2123","2329","126","325","319","548","748","120","0","0","2015","12","28","B6","BOS","JFK","1035","1034","-1","71","60","1146","1134","-12","0","0"
"2015","12","27","B6","SFO","BOS","2123","2329","126","325","319","548","748","120","0","0","2015","12","28","B6","BOS","JFK","930","931","1","72","63","1042","1034","-8","0","0"
"2015","12","28","B6","SFO","BOS","800","755","-5","329","333","1629","1628","-1","0","0","2015","12","28","B6","BOS","JFK","1841","1842","1","79","75","2000","1957","-3","0","0"
"2015","12","28","B6","SFO","LGB","1921","1927","6","77","66","2038","2033","-5","0","0","2015","12","28","B6","LGB","JFK","2120","2202","42","302","291","522","553","31","0","0"
"2015","12","29","DL","SFO","SLC","1505","2000","295","114","100","1759","2240","281","0","0","2015","12","29","DL","SLC","JFK","2345","2347","2","264","251","609","558","-11","0","0"
"2015","12","29","B6","SFO","BOS","2123","2344","141","325","316","548","800","132","0","0","2015","12","30","B6","BOS","JFK","930","1038","68","72","70","1042","1148","66","0","0"
"2015","12","30","B6","SFO","BOS","2123","2156","33","325","295","548","551","3","0","0","2015","12","31","B6","BOS","JFK","723","725","2","79","78","842","843","1","0","0"
"2015","12","27","AA","SFO","PHX","600","556","-4","118","104","858","840","-18","0","0","2015","12","27","AA","PHX","JFK","1000","1001","1","295","294","1655","1655","0","0","0"
"2015","12","27","VX","SFO","LAX","620","825","125","75","78","735","943","128","0","0","2015","12","27","VX","LAX","JFK","1040","1043","3","325","313","1905","1856","-9","0","0"
"2015","12","27","AA","SFO","PHX","910","914","4","120","124","1210","1218","8","0","0","2015","12","27","AA","PHX","JFK","1330","1329","-1","285","289","2015","2018","3","0","0"
"2015","12","27","AA","SFO","PHX","1210","1213","3","118","115","1508","1508","0","0","0","2015","12","27","AA","PHX","JFK","1640","1649","9","281","283","2321","2332","11","0","0"
"2015","12","27","VX","SFO","LAX","1300","1302","2","75","80","1415","1422","7","0","0","2015","12","27","VX","LAX","JFK","1550","1602","12","309","296","2359","2358","-1","0","0"
"2015","12","27","AA","SFO","PHX","1705","1701","-4","118","128","2003","2009","6","0","0","2015","12","27","AA","PHX","JFK","2230","2233","3","276","261","506","454","-12","0","0"
"2015","12","27","VX","SFO","LAX","1730","1856","86","80","72","1850","2008","78","0","0","2015","12","27","VX","LAX","JFK","2135","2137","2","305","302","540","539","-1","0","0"
"2015","12","27","VX","SFO","LAX","2055","2152","57","75","81","2210","2313","63","0","0","2015","12","27","VX","LAX","JFK","2310","117","127","320","333","730","950","140","0","0"
"2015","12","28","AA","SFO","PHX","600","557","-3","118","106","858","843","-15","0","0","2015","12","28","AA","PHX","JFK","1000","959","-1","295","280","1655","1639","-16","0","0"
"2015","12","28","VX","SFO","LAX","700","709","9","80","75","820","824","4","0","0","2015","12","28","VX","LAX","JFK","1040","1051","11","325","321","1905","1912","7","0","0"
"2015","12","28","AA","SFO","PHX","910","905","-5","120","109","1210","1154","-16","0","0","2015","12","28","AA","PHX","JFK","1330","1340","10","285","270","2015","2010","-5","0","0"
"2015","12","28","VX","SFO","LAX","1125","1137","12","80","77","1245","1254","9","0","0","2015","12","28","VX","LAX","JFK","1550","1547","-3","309","331","2359","18","19","0","0"
"2015","12","28","VX","SFO","LAX","1125","1137","12","80","77","1245","1254","9","0","0","2015","12","28","VX","LAX","JFK","1340","1421","41","320","310","2200","2231","31","0","0"
"2015","12","28","VX","SFO","LAX","1300","1254","-6","75","86","1415","1420","5","0","0","2015","12","28","VX","LAX","JFK","1550","1547","-3","309","331","2359","18","19","0","0"
"2015","12","28","DL","SFO","DTW","1325","1321","-4","277","300","2102","2121","19","0","0","2015","12","28","DL","DTW","JFK","1930","2307","217","115","99","2125","46","201","0","0"
"2015","12","28","AA","SFO","PHX","1705","1721","16","118","110","2003","2011","8","0","0","2015","12","28","AA","PHX","JFK","2230","2233","3","276","258","506","451","-15","0","0"
"2015","12","28","VX","SFO","LAX","1745","1803","18","80","71","1905","1914","9","0","0","2015","12","28","VX","LAX","JFK","2135","2153","18","305","296","540","549","9","0","0"
"2015","12","28","VX","SFO","LAX","1830","1827","-3","80","69","1950","1936","-14","0","0","2015","12","28","VX","LAX","JFK","2135","2153","18","305","296","540","549","9","0","0"
"2015","12","28","VX","SFO","LAX","1930","1924","-6","80","77","2050","2041","-9","0","0","2015","12","28","VX","LAX","JFK","2310","2322","12","320","315","730","737","7","0","0"
"2015","12","28","VX","SFO","LAX","1930","1924","-6","80","77","2050","2041","-9","0","0","2015","12","28","VX","LAX","JFK","2135","2153","18","305","296","540","549","9","0","0"
"2015","12","28","VX","SFO","LAX","2055","2056","1","75","69","2210","2205","-5","0","0","2015","12","28","VX","LAX","JFK","2310","2322","12","320","315","730","737","7","0","0"
"2015","12","29","VX","SFO","LAX","800","757","-3","80","72","920","909","-11","0","0","2015","12","29","VX","LAX","JFK","1040","1128","48","325","293","1905","1921","16","0","0"
"2015","12","29","VX","SFO","LAX","1125","1127","2","80","70","1245","1237","-8","0","0","2015","12","29","VX","LAX","JFK","1340","1345","5","320","304","2200","2149","-11","0","0"
"2015","12","29","DL","SFO","DTW","1130","1133","3","274","260","1904","1853","-11","0","0","2015","12","29","DL","DTW","JFK","1930","2114","104","115","102","2125","2256","91","0","0"
"2015","12","29","AA","SFO","PHX","1210","1211","1","118","111","1508","1502","-6","0","0","2015","12","29","AA","PHX","JFK","1640","1637","-3","281","258","2321","2255","-26","0","0"
"2015","12","29","VX","SFO","LAX","1300","1303","3","75","69","1415","1412","-3","0","0","2015","12","29","VX","LAX","JFK","1550","1553","3","309","284","2359","2337","-22","0","0"
"2015","12","29","VX","SFO","LAX","1745","1824","39","80","76","1905","1940","35","0","0","2015","12","29","VX","LAX","JFK","2135","2149","14","305","282","540","531","-9","0","0"
"2015","12","29","VX","SFO","LAX","1830","1829","-1","80","71","1950","1940","-10","0","0","2015","12","29","VX","LAX","JFK","2135","2149","14","305","282","540","531","-9","0","0"
"2015","12","29","VX","SFO","LAX","1930","1927","-3","80","87","2050","2054","4","0","0","2015","12","29","VX","LAX","JFK","2310","2341","31","320","296","730","737","7","0","0"
"2015","12","29","VX","SFO","LAX","2055","2106","11","75","86","2210","2232","22","0","0","2015","12","29","VX","LAX","JFK","2310","2341","31","320","296","730","737","7","0","0"
"2015","12","30","AA","SFO","PHX","600","557","-3","118","94","858","831","-27","0","0","2015","12","30","AA","PHX","JFK","1000","1002","2","295","266","1655","1628","-27","0","0"
"2015","12","30","VX","SFO","LAX","700","657","-3","80","69","820","806","-14","0","0","2015","12","30","VX","LAX","JFK","1040","1044","4","325","298","1905","1842","-23","0","0"
"2015","12","30","VX","SFO","LAX","800","800","0","80","73","920","913","-7","0","0","2015","12","30","VX","LAX","JFK","1040","1044","4","325","298","1905","1842","-23","0","0"
"2015","12","30","AA","SFO","PHX","910","903","-7","120","102","1210","1145","-25","0","0","2015","12","30","AA","PHX","JFK","1330","1401","31","285","269","2015","2030","15","0","0"
"2015","12","30","VX","SFO","LAX","1125","1125","0","80","74","1245","1239","-6","0","0","2015","12","30","VX","LAX","JFK","1340","1343","3","320","318","2200","2201","1","0","0"
"2015","12","30","AA","SFO","PHX","1210","1203","-7","118","106","1508","1449","-19","0","0","2015","12","30","AA","PHX","JFK","1640","1721","41","281","244","2321","2325","4","0","0"
"2015","12","30","VX","SFO","LAX","1300","1257","-3","75","81","1415","1418","3","0","0","2015","12","30","VX","LAX","JFK","1550","1549","-1","309","296","2359","2345","-14","0","0"
"2015","12","30","AA","SFO","PHX","1705","1753","48","118","112","2003","2045","42","0","0","2015","12","30","AA","PHX","JFK","2230","2258","28","276","244","506","502","-4","0","0"
"2015","12","30","VX","SFO","LAX","1745","1823","38","80","76","1905","1939","34","0","0","2015","12","30","VX","LAX","JFK","2135","2151","16","305","295","540","546","6","0","0"
"2015","12","30","VX","SFO","LAX","1830","1856","26","80","83","1950","2019","29","0","0","2015","12","30","VX","LAX","JFK","2135","2151","16","305","295","540","546","6","0","0"
"2015","12","30","VX","SFO","LAX","1930","1932","2","80","87","2050","2059","9","0","0","2015","12","30","VX","LAX","JFK","2310","2336","26","320","284","730","720","-10","0","0"
"2015","12","31","AA","SFO","PHX","600","554","-6","118","107","858","841","-17","0","0","2015","12","31","AA","PHX","JFK","1000","1058","58","295","240","1655","1658","3","0","0"
"2015","12","31","VX","SFO","LAX","700","706","6","80","77","820","823","3","0","0","2015","12","31","VX","LAX","JFK","1040","1039","-1","325","288","1905","1827","-38","0","0"
"2015","12","31","AA","SFO","PHX","910","906","-4","120","122","1210","1208","-2","0","0","2015","12","31","AA","PHX","JFK","1330","1408","38","285","242","2015","2010","-5","0","0"
"2015","12","31","VX","SFO","LAX","1125","1121","-4","80","74","1245","1235","-10","0","0","2015","12","31","VX","LAX","JFK","1340","1338","-2","320","291","2200","2129","-31","0","0"
"2015","12","31","AA","SFO","PHX","1210","1207","-3","118","116","1508","1503","-5","0","0","2015","12","31","AA","PHX","JFK","1640","1641","1","281","239","2321","2240","-41","0","0"
"2015","12","31","VX","SFO","LAX","1530","1559","29","80","73","1650","1712","22","0","0","2015","12","31","VX","LAX","JFK","1550","1815","145","309","286","2359","201","122","0","0"
"2015","12","14","VX","SFO","LAX","700","714","14","80","66","820","820","0","0","0","2015","12","14","VX","LAX","JFK","1040","1040","0","325","297","1905","1837","-28","0","0"
"2015","12","14","VX","SFO","LAX","800","759","-1","80","92","920","931","11","0","0","2015","12","14","VX","LAX","JFK","1040","1040","0","325","297","1905","1837","-28","0","0"
"2015","12","14","AA","SFO","PHX","910","905","-5","120","133","1210","1218","8","0","0","2015","12","14","AA","PHX","JFK","1330","1403","33","285","330","2015","2133","78","0","0"
"2015","12","14","VX","SFO","LAX","1125","1125","0","80","82","1245","1247","2","0","0","2015","12","14","VX","LAX","JFK","1340","1442","62","320","298","2200","2240","40","0","0"
"2015","12","14","VX","SFO","LAX","1300","1254","-6","75","70","1415","1404","-11","0","0","2015","12","14","VX","LAX","JFK","1550","1656","66","309","295","2359","51","52","0","0"
"2015","12","14","VX","SFO","LAX","1845","2010","85","80","80","2005","2130","85","0","0","2015","12","14","VX","LAX","JFK","2310","2330","20","320","288","730","718","-12","0","0"
"2015","12","14","VX","SFO","LAX","1930","1955","25","80","90","2050","2125","35","0","0","2015","12","14","VX","LAX","JFK","2310","2330","20","320","288","730","718","-12","0","0"
"2015","12","14","VX","SFO","LAX","2055","2051","-4","75","84","2210","2215","5","0","0","2015","12","14","VX","LAX","JFK","2310","2330","20","320","288","730","718","-12","0","0"
"2015","12","15","AA","SFO","PHX","600","555","-5","118","99","858","834","-24","0","0","2015","12","15","AA","PHX","JFK","1000","959","-1","295","262","1655","1621","-34","0","0"
"2015","12","15","VX","SFO","LAX","700","705","5","80","75","820","820","0","0","0","2015","12","15","VX","LAX","JFK","1040","1103","23","325","301","1905","1904","-1","0","0"
"2015","12","15","VX","SFO","LAX","800","806","6","80","79","920","925","5","0","0","2015","12","15","VX","LAX","JFK","1040","1103","23","325","301","1905","1904","-1","0","0"
"2015","12","15","AA","SFO","PHX","910","909","-1","120","122","1210","1211","1","0","0","2015","12","15","AA","PHX","JFK","1330","1326","-4","285","246","2015","1932","-43","0","0"
"2015","12","15","VX","SFO","LAX","1125","1124","-1","80","70","1245","1234","-11","0","0","2015","12","15","VX","LAX","JFK","1340","1336","-4","320","291","2200","2127","-33","0","0"
"2015","12","15","AA","SFO","PHX","1210","1205","-5","118","109","1508","1454","-14","0","0","2015","12","15","AA","PHX","JFK","1640","1639","-1","281","248","2321","2247","-34","0","0"
"2015","12","15","VX","SFO","LAX","1300","1254","-6","75","70","1415","1404","-11","0","0","2015","12","15","VX","LAX","JFK","1550","1558","8","309","298","2359","2356","-3","0","0"
"2015","12","15","VX","SFO","LAX","1845","1908","23","80","73","2005","2021","16","0","0","2015","12","15","VX","LAX","JFK","2310","2310","0","320","305","730","715","-15","0","0"
"2015","12","15","VX","SFO","LAX","1930","1925","-5","80","84","2050","2049","-1","0","0","2015","12","15","VX","LAX","JFK","2310","2310","0","320","305","730","715","-15","0","0"
"2015","12","16","VX","SFO","LAX","700","701","1","80","81","820","822","2","0","0","2015","12","16","VX","LAX","JFK","1040","1039","-1","325","303","1905","1842","-23","0","0"
"2015","12","16","VX","SFO","LAX","800","804","4","80","84","920","928","8","0","0","2015","12","16","VX","LAX","JFK","1040","1039","-1","325","303","1905","1842","-23","0","0"
"2015","12","16","AA","SFO","PHX","910","910","0","120","103","1210","1153","-17","0","0","2015","12","16","AA","PHX","JFK","1330","1327","-3","285","258","2015","1945","-30","0","0"
"2015","12","16","VX","SFO","LAX","1125","1121","-4","80","74","1245","1235","-10","0","0","2015","12","16","VX","LAX","JFK","1340","1342","2","320","294","2200","2136","-24","0","0"
"2015","12","16","AA","SFO","PHX","1210","1210","0","118","102","1508","1452","-16","0","0","2015","12","16","AA","PHX","JFK","1640","1632","-8","281","256","2321","2248","-33","0","0"
"2015","12","16","VX","SFO","LAX","1300","1257","-3","75","71","1415","1408","-7","0","0","2015","12","16","VX","LAX","JFK","1550","1606","16","309","296","2359","2","3","0","0"
"2015","12","16","AA","SFO","PHX","1705","1658","-7","118","111","2003","1949","-14","0","0","2015","12","16","AA","PHX","JFK","2230","2230","0","276","261","506","451","-15","0","0"
